pub_date,snippet
2009-05-09 03:39:26+00:00,Joblessness is like a cancer in the society. The last thing in the world that you want is for it to metastasize. And that’s what’s happening now.
2009-05-09 16:16:55+00:00,The recession is forcing a return to a culture of thrift that many economists say could last well beyond the recovery.
2009-05-09 16:38:47+00:00,"The edge of the financial crisis appears to have dulled, but in Boise, Idaho, and the rest of the nation, the economy remains weak and the future uncertain."
2009-05-09 18:22:52+00:00,The stock market rally that has been throttling higher since March has taken the edge off the worst fears. But can you trust it?
2009-05-09 18:23:24+00:00,"The economic news isn’t as dire as it could be, and that’s enough to lift stocks."
2009-05-10 18:30:49+00:00,Jonathan Abrams answered questions from readers.
2009-05-10 22:41:53+00:00,A wedding day enlivened by a mayor; an unusual way to make a living; geography lessons for city children.
2009-05-11 01:36:10+00:00,The lag between recovery and falling unemployment carries multiple potential consequences for President Obama’s agenda.
2009-05-11 02:05:18+00:00,Venture capital is moving away from alternative energy and returning to one of its traditional strengths: improving the efficiency of energy consumption.
2009-05-11 10:45:28+00:00,
2009-05-11 10:45:28+00:00,"Finally, it was a moment for the banks to de-stress.A day after the bank stress tests were released, two major institutions, Wells Fargo and Morgan Stanley, handily raised billions of dollars in the capital markets on Friday to satisfy new federal..."
2009-05-11 10:49:54+00:00,"Berkshire Hathaway, the company led by Warren E. Buffett, announced late Friday that it had recorded its first quarterly loss since 2001, hurt by a large investment in ConocoPhillips shares and losses from derivatives, The New York Times's Steven ..."
2009-05-11 10:49:54+00:00,
2009-05-11 10:55:05+00:00,"Global shares held steady on Monday, working on their third consecutive month of gains, but there were losses in Europe after recent gains amid worries about bank earnings.Investors were generally lifted by last week's smaller-than-expected number..."
2009-05-11 10:55:05+00:00,
2009-05-11 10:55:51+00:00,
2009-05-11 10:55:51+00:00,"Is it safe to exhale yet?Many investors abandoned stocks entirely as the market fell into a steep decline, wiping out more than 50 percent of the value of the broad stock market through early March.Perhaps that's why there has been relatively litt..."
2009-05-11 11:14:20+00:00,"In 2003, when Foundation Capital, a venture capital firm, started looking for new investors for Silver Spring Networks, one of its portfolio of companies, it was rejected by every firm it called.Investors in clean technology were just not excited ..."
2009-05-11 11:14:20+00:00,
2009-05-11 11:30:04+00:00,
2009-05-11 11:30:04+00:00,"Capital One, US Bancorp and BB&T announced plans to pay down the government’s investments under the TARP program by selling billions of dollars in new stock."
2009-05-11 11:46:26+00:00,A multiweek rally had lifted markets more than 30 percent and left some analysts anticipating the pullback.
2009-05-11 15:19:21+00:00,"Microsoft on Monday moved closer to raising debt for the first time in its history. It will be the latest step in the corporate evolution of the software giant, which began paying dividends in 2003.Microsoft hasn't raised capital in the debt marke..."
2009-05-11 15:19:21+00:00,
2009-05-11 16:06:10+00:00,"Long before swine flu hit, Timothy Geithner testified to Congress about the danger of a strange new epidemic. ""Contagion spreads,"" he warned in 2008, ""transmitting waves of distress to other markets."" The contagion was loan defaults, and Bear Stea..."
2009-05-11 18:03:36+00:00,"Few people in the world know more about the Great Depression than economic historian Price Fishback, which is why whenever he offers an opinion on the subject, I always listen carefully. Back in the fall, Fishback wrote two outstanding posts here ..."
2009-05-11 18:52:34+00:00,"The fertilizer wars escalated on Monday, as Agrium said that it was raising its bid for rival CF Industries yet again, to about $85.20 a share in cash and stock."
2009-05-11 18:52:34+00:00,"The fertilizer wars escalated on Monday, as Agrium said that it was raising its bid for rival CF Industries yet again, to about $85.20 a share in cash and stock."
2009-05-11 20:46:23+00:00,"Economists are predicting that a lasting effect of this downturn may be a return to relatively higher savings rates. But how will Americans choose to save their money, given how many have been burned in stock market declines?."
2009-05-11 20:46:23+00:00,"Economists are predicting that a lasting effect of this downturn may be a return to relatively higher savings rates. But how will Americans choose to save their money, given how many have been burned in stock market declines?"
2009-05-11 21:29:50+00:00,"Proceeds, an estimated $1.8 billion, are to go to general corporate purposes and a union-run medical trust."
2009-05-11 23:59:34+00:00,"While the financial crisis has hit those who who bid up art during the boom, executives say well-heeled collectors are buying art now to bolster their vaults against a coming bout of inflation."
2009-05-12 00:31:17+00:00,"In these anxious days, some people are putting their cash into cows, hoping for a safe investment that allows for long-term growth from a renewable resource: calves."
2009-05-12 01:08:37+00:00,"Community banks have hardly suffered in the credit crisis, in part because they prefer to be boring — and safe."
2009-05-12 05:00:00+00:00,Long-term investors seeking a safe place to invest their money are becoming an important factor in the current real estate market.
2009-05-12 06:49:50+00:00,Disappointing export data from China on Tuesday dented the incipient hopes that the global economy has put the worst behind it.
2009-05-12 11:00:50+00:00,Profit-taking on Monday sent the major indexes lower after a weeks-long rally lifted markets more than 30 percent.
2009-05-12 11:00:50+00:00,Profit-taking on Monday sent the major indexes lower after a weeks-long rally lifted markets more than 30 percent.
2009-05-12 11:04:35+00:00,"Community banks, most of which eschewed the risk-addicted style of Wall Street megabanks, are still turning a reliable, if unexciting, profit. But many are dismayed that the public and politicians are lumping them in with struggling behemoths."
2009-05-12 11:04:35+00:00,"Community banks, most of which eschewed the risk-addicted style of Wall Street megabanks, are still turning a reliable, if unexciting, profit. But many are dismayed that the public and politicians are lumping them in with struggling behemoths."
2009-05-12 11:11:45+00:00,
2009-05-12 11:11:45+00:00,"Citigroup is using its $45 billion in government capital to make nearly that much in new loans, The Associated Press reported.Citigroup said its committee overseeing the use of taxpayer money approved $44.75 billion in lending initiatives as of Ma..."
2009-05-12 11:14:30+00:00,"Microsoft priced a $3.75 billion debt offering on Monday, a first for the world's largest software maker.Microsoft said in a Securities and Exchange Commission filing that it was offering 5-, 10- and 30-year senior unsecured notes. In a press rele..."
2009-05-12 11:14:30+00:00,
2009-05-12 11:32:08+00:00,"London-based investment firm Samena Capital is starting a Japan-focused hedge fund, in a bet that the country's stock market is poised for a rebound.The hedge fund, Samena Japan Absolute Return Fund, will start up with $25 million and will be run ..."
2009-05-12 11:32:08+00:00,
2009-05-12 11:34:52+00:00,"The green shoots seem to have sprouted inside the brains of private equity managers. They're lining up to crash the 3 billion deal (about $4.5 billion) CVC Capital struck last month to buy iShares from Barclays.The business is hot, Breakingviews n..."
2009-05-12 11:34:52+00:00,
2009-05-12 11:35:21+00:00,"The Federal Reserve chairman, Ben S. Bernanke, on Monday defended the rigor of the government's stress tests of the nation's 19 largest banks, saying that the results should bolster confidence in the banking system.The much-anticipated results sho..."
2009-05-12 11:35:21+00:00,
2009-05-12 15:48:38+00:00,"General Motors’ stock plunged more than 22 percent to a 76-year low on Tuesday, a day after a group of G.M. executives disclosed they had sold shares in the struggling automaker."
