pub_date,snippet
1998-04-15 05:00:00+00:00,J P Morgan & Co says earnings weakened in first quarter; large regional banking companies such as First Union Corp and Norwest Corp report double-digit gains for quarter; PNC Bank and State Street Corp post strong results; J P Morgan earned $237 m...
1998-04-15 05:00:00+00:00,"Robert L Crandall will retire as chairman and chief executive of American Airlines in mid-May; will be succeeded by Donald J Carty, who is airline's president (M)"
1998-04-15 05:00:00+00:00,"Economists and tax preparers say tax cheating is on the rise, especially among wealthier people who have significant capital gains on investments; affluent taxpayers have had powerful incentives to cheat on capital gains taxes since 1994, but Cong..."
1998-04-15 05:00:00+00:00,"Gillette Co unveils its long awaited new razor system, the Mach 3, a shaver that has three blades rather than two, a sharper edge and higher price tag; $300 million marketing campaign will seek to persuade consumers that product will remove facial..."
1998-04-15 05:00:00+00:00,"Molly O'Neill reports on cuisine of Vietnam; describes scene in Hue, once Vietnam's imperial city and long the epicenter of country's classic cuisine; photos; recipes (M)"
1998-04-15 05:00:00+00:00,"Seventh of eight columns by Diane Forley, chef and owner of Manhattan restaurant Verbena, describes making chicken stuffed with toasted sesame-millet mousse in zaatar broth; recipe; drawing (M)"
1998-04-15 05:00:00+00:00,"Dow Jones industrial average rises 97.20 points, or 1.1 percent, to record9,110.20; Standard & Poor's index of 500 stocks climbs 6.06 points, to 1,115.75; Nasdaq index climbs 18.08 points, or 1 percent, to 1,843.03; graph; chart (L)"
1998-04-15 05:00:00+00:00,"Ethan Allen Interiors earns $18 million in its fiscal third quarter; stock drops $5.4375, to close at $56.6875 (S)"
1998-04-15 05:00:00+00:00,Dick West letter on privatizing Social Security; notes current high level of stock market (S)
1998-04-15 05:00:00+00:00,
1998-04-15 05:00:00+00:00,"Intel Corp reports first-quarter earnings of $1.27 billion, down 36 percent from first 1997 quarter; sales fall 7 percent, to $6 billion; results exceed Wall Street analysts' revised forecasts; Intel expects second-quarter results to be flat or sl..."
1998-04-15 05:00:00+00:00,"Thanks to neat checklists prepared by the International Monetary Fund, investors in recent months have judged the health of East Asia's most troubled economies like a stock boy with a clipboard, ticking off the IMF's point-by-point reforms as they..."
1998-04-15 05:00:00+00:00,"Warner Lambert rebounds far above other pharmaceutical companies in industry after big dip in its stock price in 1997; resurgence is attributed primarily to strong sales of two of its drugs, troglitazone, a diabetes drug known as Rezulin in US, an..."
1998-04-15 05:00:00+00:00,"Lawrence Durrell's former home in Bellapais is now magnet for tourists, but late British writer is all but forgotten in Turkish Cypriot town he loved; photo; map; Bellapais in Durrell's time was almost all Greek, and he was unabashed Grecophile wh..."
1998-04-15 05:00:00+00:00,"Eastman Kodak Co posts its sixth consecutive quarterly decline in profits; net is $225 million, a 17 percent drop from $272 million earned in first quarter of 1997; sales are down 7 percent, to $2.91 billion from $3.13 billion; chart (M)"
1998-04-15 05:00:00+00:00,"Scott K Ginsburg abruptly resigns as chief executive of Chancellor Media Corp over board's plans to diversify and find a new chief; Thomas O Hicks, chairman of Chancellor board, says board wanted Ginsburg to continue running radio operations, but ..."
1998-04-15 05:00:00+00:00,"Mark Bittman reports on vast indoor food markets in sultry Ho Chi Minh City, Vietnam, noting exotic range of items available, from crispy-fried insects to live ducks, chickens and fish; photo (M)"
1998-04-16 05:00:00+00:00,Apple Computer Inc reports quarterly earnings that are more than twice consensus forecast of Wall Street analysts and are largely result of improved profit margins and sharp cost-cutting; revenues fall 12 percent in company's second fiscal quarter...
1998-04-16 05:00:00+00:00,"Ford Motor Co's new Super Duty pickup trucks built in Louisville, Ky, are an instant hit; Ford brings in thousand workers from unprofitable car factories in Ohio and begins operating factory in Louisville around the clock; Ford has been more succe..."
1998-04-16 05:00:00+00:00,"Market Place column on AMR Corp in light of Robert L Crandall's announced retirement as chairman and chief executive of American Airlines; notes that AMR is reporting 91 percent jump in first-quarter profits, to $290 million; revenues are $4.7 bil..."
1998-04-16 05:00:00+00:00,
1998-04-16 05:00:00+00:00,"Compaq Computer Corp reports revenues and earnings that meet Wall Street analysts' lowered expectations; says earnings fell 96 percent, to $16 million, from $414 million in year-earlier quarter; sales rose 8 percent, to $5.69 billion, from $5.27 b..."
1998-04-16 05:00:00+00:00,"Jerome M Wenger, host of syndicated radio program, The Next Super Stock, is charged with taking thousands of dollars in secret payments from companies in return for promoting their stocks on air in scheme that prosecutors say defrauded hundreds of..."
1998-04-16 05:00:00+00:00,"Coca-Cola Co reports 13.2 percent drop in first-quarter earnings, to $857 million; operating income grows to $1.282 billion, from $1.142 bilion in year-earlier quarter; Coca-Cola attributes earnings decline to devalued currencies in many countries..."
1998-04-16 05:00:00+00:00,"Pennzoil and Quaker State plan to combine into new, dominant force in sale and manufacture of automotive lubricants, waxes and additives; companies, already first and second in nation's motor oil market, would together have 36 percent share; Pennz..."
1998-04-16 05:00:00+00:00,"The finance ministers of the United States and Japan said Wednesday they were concerned about the ""excessive depreciation"" of the yen and pledged to ""cooperate closely"" in foreign-exchange markets.. The worry about the yen's weakness"
1998-04-16 05:00:00+00:00,"Asian crisis forces Wanglee family, the Rockefellers of Thailand, to sell controlling stake in its most prized holding, Nakornthon Bank, and for fraction of price it would have brought year ago; until now, Wanglees have kept their sprawling empire..."
1998-04-16 05:00:00+00:00,"Finance ministers and heads of central banks of world's largest industrialized nations say that yen has fallen too far as Japan struggles to pull out of its worse financial straits in years; ministers at Group of Seven meeting, Washington, offer l..."
1998-04-16 05:00:00+00:00,"William Safire Op-Ed column raises concerns about proposed mergers of banks, insurance companies and stock brokerages; says they should be addressed before Congress considers doing away with Glass-Steagall Act, which forbids such combinations (M)"
1998-04-16 05:00:00+00:00,"Dow Jones industrial average gains 52.07 points, to close at record 9,162.27; Nasdaq composite index climbs 20.23 points, or 1.1 percent, to close at record 1,863.26; Standard & Poor's 500 index finishes at 1,119.32, up 3.57 points; graph; chart (..."
1998-04-16 05:00:00+00:00,"New York State Legislature, in steepest spending increase in election-year budget, approves raising allocation for public schools to $11.9 billion, $950 million increase over last year; budget also authorizes $500 million for school construction p..."
1998-04-17 05:00:00+00:00,"All week, finance ministers from around the world have been trying to draw lessons from the Asian crisis and create a better ""early-warning system"" for crisis prevention. In doing so they have introduced a new buzzword into the lexicon of globa"
1998-04-17 05:00:00+00:00,"Black empowerment deals are thriving in South Africa, but skepticism is mounting as to whether such deals help blacks; in last four years, so many deals have been struck that blacks now control 28 companies worth total of more than $13 billion, ab..."
1998-04-17 05:00:00+00:00,"Some legislators have begun to wonder how well equipped banking regulators are to supervise new corporate giants that will emerge from recent multibillion-dollar bank mergers; Repr Jim Leach, chairman of House Banking and Financial Services Commit..."
1998-04-17 05:00:00+00:00,"Securities and Exchange Commission proposes rules to tighten monitoring of fast-growing electronic trading systems used by institutional investors and to require them to display more stock quotes to the public; these 50 private systems, including ..."
1998-04-17 05:00:00+00:00,Michiko Kakutani reviews novel A Patchwork Planet by Anne Tyler; her photo (S)
1998-04-17 05:00:00+00:00,
1998-04-17 05:00:00+00:00,
1998-04-17 05:00:00+00:00,"Foreigners have been buying South Korean bonds and pouring cash into country's resurgent stock market but direct foreign investment in Korean companies remains sluggish; while foreign investors complain about sketchy accounting and legal barriers,..."
1998-04-17 05:00:00+00:00,"Dow Jones industrial average falls 85.70 points, to 9,076.57, while Standard & Poor's index of 500 stocks drops 11.15 points, to 1,108.17; Nasdaq index finishes down 5.02 points at 1,858.24; graph; chart (L)"
1998-04-17 05:00:00+00:00,"Sun Microsystems Inc says earnings rose modestly in fiscal third quarter ended March 29, meeting analysts' forecasts; reports earnings of $232 million, up 3.5 percent from $223.5 million in year-earlier period; sales rose 11.6 percent, to $2.36 bi..."
1998-04-17 05:00:00+00:00,"Merck & Co says profit rose by lower-than-expected 14 percent in first quarter; net income rose to $1.16 billion from $1.02 billion a year earlier; revenues rose 8.8 percent, to $6.06 billion, from year earlier; chart (M)"
1998-04-17 05:00:00+00:00,"Market Place: Stock in Cendant, which was formed by merger in December of HFS Corp and CUC International, plunges $16.56, or 46 percent, to $19.06, after president Henry Silverman says 'potential accounting irregularities' have been uncovered at o..."
1998-04-17 05:00:00+00:00,John Cardinal O'Connor says he will not attend any Major League Baseball games this year because league insists on playing on Good Friday (M)
1998-04-17 05:00:00+00:00,
1998-04-18 05:00:00+00:00,"Trying to beat the market by timing investments or by stock-picking is a mug's game, according to Charles Ellis, a partner at the financial consultants Greenwich Associates in Connecticut and author of ""Winning the Loser's Game,"" to be published"
1998-04-18 05:00:00+00:00,"WHAT HAPPENS when a tiger falls from a great height? It bouncesor so the performances of some Asian financial markets would seem to indicate.. Several of the weakest Asian markets, including Malaysia, South Korea and Thailand, are still trading at..."
1998-04-18 05:00:00+00:00,"After last year's plunge, the emerging markets have stabilized, and the closed-end country fund team at Robert Fleming Securities Ltd. in London says investors holding these instruments should hang on. .For those who want exposure to South Korea, ..."
1998-04-18 05:00:00+00:00,"Every now and then, an auction drags into the limelight a major art to which little attention is paid because the ancient land in which it blossomed is impoverished, its culture complex and unfamiliar, its language or languages barely understood i..."
1998-04-18 05:00:00+00:00,"Texas Utilities Co wins British Government clearance for its 6.3 billion pound ($10.4 billion) bid for Energy Group PLC, putting pressure on rival Pacificorp to top bid (S)"
1998-04-18 05:00:00+00:00,
