date,text,sentiment score
2007-06-01 04:00:00+00:00,The deal will form the second-largest retail stock brokerage firm in the U.S. after Merrill Lynch.,0.458065
2007-06-01 04:00:00+00:00,"The publishing industry struggled to sell more copies last year than it did the year before, according to a new report.",0.0
2007-06-01 04:00:00+00:00,The $6.8 billion deal will form the second-largest retail stock brokerage firm in the U.S. after Merrill Lynch.,0.4628
2007-06-01 04:00:00+00:00,G.E. plans to participate in the country’s “massive focus” on energy and will create a fund for infrastructure that could reach $1 billion.,0.803815
2007-06-01 04:00:00+00:00,"The action was a change in direction for the department, which had failed to respond to calls for it to be more aggressive in policing the industry.",-0.731841
2007-06-01 04:00:00+00:00,"Private equity is swooping in and taking over the subprime mortgage business, seeing opportunity amid the wreckage.",-0.742807
2007-06-01 04:00:00+00:00,The S.E.C. is considering whether a different kind of auction will be allowed to set values on company income statements.,0.0
2007-06-02 04:00:00+00:00,"The Labor Department said today that 157,000 new jobs were created last month, compared with 80,000 in April.",0.0
2007-06-02 04:00:00+00:00,New Education Department rules would set new standards for universities and ban practices that have resulted in loan company payoffs to college officials.,0.0
2007-06-02 04:00:00+00:00,The TV stock-picker James Cramer certainly draws plenty of criticism. ,0.27128
2007-06-02 04:00:00+00:00,"Chinese markets swooned, but American investors reached new heights. The World Bank has big money-raising needs for its new leader.",0.787915
2007-06-03 04:00:00+00:00,"It was a short but glorious week for the stock market, with both the Dow Jones industrial average and the Standard & Poor’s 500-stock index closing on Friday at record highs.",-0.763685
2007-06-03 04:00:00+00:00,"Despite their menacing appearance, black rifles are now the guns of choice for many hunters, target shooters and would-be home defenders.",-0.664524
2007-06-03 04:00:00+00:00,"To benefit from buying foreign stocks, investors must be willing to buy and hold shares from all parts of the world — not just regions where stocks are running hot.",0.633134
2007-06-03 04:00:00+00:00,A refurbished three-story home in Yonkers is one of several residences to be built by a nonprofit organization for veterans.,0.0
2007-06-03 04:00:00+00:00,"The old admonition to “sell in May, then go away,” seems to have gone unheeded this year, as stocks ended the week at all-time highs.",-0.897031
2007-06-03 04:00:00+00:00,Look at the shares of the nation’s 10th-largest seller of residential housing and you might think that the real estate bubble never popped.,-0.682476
2007-06-03 04:00:00+00:00,"Like its big sister Stockholm, Goteborg, Sweden’s second city, is as much about boats and water as it is about bricks and mortar.",0.0
2007-06-03 04:00:00+00:00,"Bill Hambrecht, who has made a name and fortune for himself by rattling the Wall Street establishment, will set his sights on the N.F.L. when he tries to launch a rival professional football league in 2008. ",0.89637
2007-06-03 04:00:00+00:00,"Danielle Ganek’s novel, “Lulu Meets God and Doubts Him,” has the art world asking who is who.",0.0
2007-06-03 04:00:00+00:00,Experts say a few simple guideposts can help investors who are hunting for value stocks under most any market conditions.,0.583499
2007-06-03 04:00:00+00:00,"Arianne Adams, the daughter of Mr. and Mrs. John S. Adams of Emmaus, Pa., was married on Friday to Thomas O’Brien Criqui, a son of Mr. and Mrs. Donald L. Criqui of Essex Fells, N.J. The Rev. John F. Morley officiated at St. Catharine Roman Catholi...",0.0
2007-06-03 04:00:00+00:00,"In “Connected: 24 Hours in the Global Economy,” Daniel Altman promises to take readers into the inner workings of the global economy.",0.94519
2007-06-03 05:00:00+00:00,"“Many different kinds of people are taking meals and drinking coffee in this late-night Denny's, but she is the only female there alone.”",0.613569
2007-06-04 04:00:00+00:00,"Qiagen, a Dutch maker of tools for gene research, has agreed to buy the Digene Corporation for $1.6 billion in shares and cash.",0.823603
2007-06-04 04:00:00+00:00,Mitt Romney’s success at Bain Capital helped finance his campaigns but has also exposed him to criticism.,0.0
