,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,SP 500,SP 500,SP 500,SP 500
,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal
Date,,,,,,,,,,,,
2016-04-07,4475.2900390625,4457.1806640625,4397.443823242187,1,1092.7900390625,1098.7686686197917,1084.5341021728516,1,2041.9100341796875,2051.5079996744794,1993.6886999511719,-1
2016-04-08,4474.93017578125,4462.15869140625,4396.303823242188,1,1097.31005859375,1099.1726725260417,1083.9591021728515,1,2047.5999755859375,2051.975333658854,1993.705,-1
2016-04-11,4458.7099609375,4465.35068359375,4395.869521484375,1,1094.3399658203125,1098.6840006510417,1083.4370013427733,1,2041.989990234375,2051.4693277994793,1993.8944995117188,-1
2016-04-12,4496.0400390625,4469.9546875,4395.175219726562,1,1105.7099609375,1099.159334309896,1082.9333013916016,1,2061.719970703125,2052.1439860026044,1993.9797998046874,-1
2016-04-13,4554.72021484375,4477.761360677084,4395.064223632812,1,1129.9300537109375,1101.3320068359376,1082.700502319336,1,2082.419921875,2054.318644205729,1994.299599609375,-1
2016-04-14,4554.6298828125,4487.899348958334,4394.076123046875,1,1128.5899658203125,1104.8580078125,1082.2689019775391,1,2082.780029296875,2057.3899820963543,1994.2915991210937,-1
2016-04-15,4543.16015625,4497.07470703125,4392.9542236328125,1,1130.9200439453125,1108.283341471354,1081.9108026123047,1,2080.72998046875,2060.375984700521,1994.2864990234375,-1
2016-04-18,4569.31005859375,4508.49072265625,4391.783725585938,1,1139.280029296875,1112.2200113932292,1081.5521026611327,1,2094.340087890625,2064.195320638021,1994.3382006835936,-1
2016-04-19,4537.08984375,4513.115364583334,4390.406723632813,1,1140.22998046875,1114.2966796875,1081.1508026123047,1,2100.800048828125,2067.2479899088544,1994.4803002929686,-1
2016-04-20,4540.43994140625,4516.419368489584,4389.117021484375,1,1142.2900390625,1116.42001953125,1080.6856024169922,1,2102.39990234375,2069.811319986979,1994.612900390625,-1
